scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
113742,1,1311.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
113747,1,22895.0,Marketing Executive,Junior Executive,1.0,SGD,2200.0,2800.0
113770,1,48841.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
113783,1,1292.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
114012,1,1594.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
114240,1,38840.0,Marketing Executive,Manager,3.0,SGD,3000.0,5000.0
115026,1,15026.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
122077,1,51174.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3000.0
122585,1,12362.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
122865,1,51379.0,Marketing Executive,Junior Executive,2.0,SGD,2100.0,2500.0
123806,1,26950.0,Marketing Executive,Senior Executive,3.0,SGD,2800.0,3500.0
123830,1,29142.0,Marketing Executive,Junior Executive,3.0,SGD,3000.0,3500.0
123936,1,1629.0,Marketing Executive,Junior Executive,2.0,SGD,3500.0,4000.0
124029,1,46409.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
124474,1,51822.0,Marketing Executive,Senior Executive,2.0,SGD,3000.0,3500.0
133298,1,12653.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4200.0
136157,1,37960.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
136612,1,1266.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
136814,1,37890.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
136822,1,57237.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
137216,1,20661.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
137265,1,664.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
137312,1,1944.0,Marketing Executive,Junior Executive,3.0,SGD,3000.0,4000.0
137372,1,16181.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,5000.0
137513,1,24837.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3920.0
137538,1,57428.0,Marketing Executive,Senior Executive,1.0,SGD,2800.0,3500.0
137688,1,23798.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
137863,1,57532.0,Marketing Executive,Junior Executive,4.0,SGD,2800.0,3500.0
138017,1,44317.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
138235,1,15863.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
138409,1,12643.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
139044,1,783.0,Marketing Executive,Manager,3.0,SGD,4500.0,5000.0
139280,1,12706.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
148934,1,51606.0,Marketing Executive,Senior Executive,3.0,SGD,2800.0,3500.0
150273,1,38859.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3500.0
154618,1,21001.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
154620,1,22239.0,Marketing Executive,Junior Executive,1.0,SGD,3000.0,4200.0
155003,1,2120.0,Marketing Executive,Junior Executive,3.0,SGD,3500.0,4000.0
155726,1,63385.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3000.0
156283,1,57443.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
157451,1,63786.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
157529,1,162.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
157570,1,63809.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
157578,1,12872.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3500.0
157615,1,63817.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
157741,1,1908.0,Marketing Executive,Senior Executive,2.0,SGD,2800.0,3500.0
168493,1,44798.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
170026,1,12760.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
170030,1,1060.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
170999,1,1920.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
171116,1,1923.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
174894,1,679.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3800.0
175868,1,15026.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
178028,1,653.0,Marketing Executive,Junior Executive,2.0,SGD,3500.0,4500.0
180007,1,1620.0,Marketing Executive,Junior Executive,1.0,SGD,2000.0,3500.0
180091,1,26950.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
180286,1,38824.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,2900.0
185893,1,46539.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
186861,1,20488.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
187115,1,12459.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
187208,1,69196.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
189871,1,46629.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3200.0
194257,1,23255.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
194579,1,1266.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3300.0
194610,1,38840.0,Marketing Executive,Entry Level,1.0,SGD,3000.0,5000.0
196506,1,12510.0,Marketing Executive,Junior Executive,1.0,SGD,2700.0,3500.0
196844,1,13247.0,Marketing Executive,Junior Executive,1.0,SGD,3000.0,5000.0
197361,1,71033.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
197386,1,12643.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
197586,1,1971.0,Marketing Executive,Entry Level,2.0,SGD,4910.0,5010.0
200536,1,12465.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
201615,1,70898.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
204140,1,23255.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
204156,1,815.0,Marketing Executive,Senior Executive,2.0,SGD,3800.0,5320.0
205543,1,15337.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
207533,1,72803.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
213858,1,74063.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
213936,1,74080.0,Marketing Executive,Senior Executive,1.0,SGD,3000.0,4200.0
213947,1,1060.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
214010,1,74104.0,Marketing Executive,Junior Executive,2.0,SGD,2400.0,2700.0
214169,1,67174.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4200.0
216052,1,74453.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3000.0
218890,1,38859.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3500.0
219162,1,130.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
222568,1,2032.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
222743,1,38824.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,2900.0
227878,1,26988.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3000.0
227881,1,25730.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3500.0
229612,1,653.0,Marketing Executive,Junior Executive,2.0,SGD,3500.0,4500.0
230250,1,20943.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3200.0
232682,1,2078.0,Marketing Executive,Junior Executive,2.0,SGD,2600.0,4000.0
232908,1,12598.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
237170,1,78336.0,Marketing Executive,Senior Executive,2.0,SGD,3000.0,4000.0
237255,1,2173.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,4000.0
237438,1,27355.0,Marketing Executive,Junior Executive,1.0,SGD,2600.0,3800.0
237485,1,78364.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
238463,1,653.0,Marketing Executive,Entry Level,1.0,SGD,3500.0,4000.0
238918,1,15220.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
238919,1,16298.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3000.0
239437,1,1331.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
282562,1,15636.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
282567,1,46632.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4200.0
291921,1,91568.0,Marketing Executive,Junior Executive,1.0,SGD,2200.0,2900.0
295542,1,64224.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
309774,1,61499.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
310411,1,15026.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
310430,1,27911.0,Marketing Executive,Junior Executive,1.0,SGD,2100.0,2800.0
311620,1,94288.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
311788,1,12653.0,Marketing Executive,Junior Executive,2.0,SGD,2900.0,3200.0
312926,1,17018.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
318161,1,16572.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
323285,1,1311.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
323433,1,44798.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3600.0
323638,1,96470.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
324877,1,1273.0,Marketing Executive,Senior Executive,5.0,SGD,2800.0,3500.0
331284,1,15150.0,Marketing Executive,Junior Executive,1.0,SGD,3000.0,3500.0
337216,1,12643.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
344294,1,21265.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
345149,1,2023.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
347508,1,44155.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
347521,1,55893.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3000.0
347782,1,1404.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3200.0
348224,1,100706.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
350642,1,38840.0,Marketing Executive,Entry Level,1.0,SGD,2800.0,4000.0
353957,1,46539.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
359101,1,20123.0,Marketing Executive,Senior Executive,2.0,SGD,2800.0,3500.0
359111,1,60132.0,Marketing Executive,Entry Level,1.0,SGD,3000.0,4200.0
359121,1,12760.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,4000.0
359147,1,15044.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3600.0
361915,1,103130.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
361925,1,16610.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
362000,1,2071.0,Marketing Executive,Junior Executive,2.0,SGD,2900.0,3500.0
362349,1,14689.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3800.0
362361,1,674.0,Marketing Executive,Manager,3.0,SGD,2800.0,3500.0
